Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AverageMonthlySpend,ChargeDifference,ServiceCount,TenureGroup,ChargeGroup,ContractRisk,ElectronicPayment,HasTechSupport,HasOnlineSecurity
Female,0,Yes,No,20,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer,50.72,937.06,No,46.852999999999994,3.8670000000000044,2,Developing,Medium,2,0,0,0
Female,0,Yes,No,47,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer,87.13,4204.74,No,89.46255319148936,-2.3325531914893674,4,Established,High,1,0,1,0
Male,0,Yes,No,41,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,85.67,3442.04,No,83.95219512195122,1.7178048780487813,3,Established,High,2,0,0,1
Male,1,Yes,No,37,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,49.83,1743.65,No,47.12567567567568,2.7043243243243182,3,Established,Medium,1,1,1,0
Female,0,No,No,1,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,106.54,344.51,No,344.51,-237.96999999999997,7,New,Very High,2,0,1,1
Male,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.57,1703.69,Yes,74.07347826086956,0.4965217391304293,3,Developing,High,2,1,0,0
Male,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,28.43,698.31,No,25.86333333333333,2.56666666666667,2,Established,Low,2,0,0,0
Female,0,Yes,No,61,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,52.06,3236.94,No,53.064590163934426,-1.0045901639344237,3,Loyal,Medium,2,0,0,0
Male,0,Yes,No,60,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer,63.24,3687.59,No,61.459833333333336,1.7801666666666662,4,Loyal,Medium,2,0,1,1
Female,0,No,No,63,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Bank transfer,62.48,3880.72,No,61.598730158730156,0.881269841269841,3,Loyal,Medium,0,0,0,0
Male,0,Yes,No,34,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,80.33,2795.39,No,82.21735294117647,-1.8873529411764736,6,Established,High,2,0,0,1
Male,0,No,Yes,24,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Electronic check,71.63,1890.63,No,78.77625,-7.146250000000009,2,Developing,High,0,1,0,1
Female,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,87.27,3223.67,No,89.54638888888888,-2.2763888888888886,4,Established,High,2,1,0,0
Female,0,No,No,58,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,64.76,3814.22,No,65.76241379310345,-1.0024137931034431,4,Loyal,Medium,2,1,1,1
Male,0,Yes,No,45,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,19.16,973.79,No,21.639777777777777,-2.4797777777777767,0,Established,Low,1,0,0,0
Female,1,No,No,44,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,68.57,2994.28,No,68.05181818181819,0.5181818181818016,5,Established,Medium,0,1,1,0
Male,0,Yes,Yes,32,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card,88.44,2712.92,Yes,84.77875,3.6612499999999955,4,Established,High,2,0,0,1
Male,0,Yes,Yes,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.5,938.52,No,18.40235294117647,1.0976470588235294,0,Loyal,Low,2,1,0,0
Male,0,Yes,No,63,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card,91.86,5897.14,No,93.60539682539682,-1.7453968253968242,3,Loyal,High,1,0,0,0
Male,0,No,No,49,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,68.34,3253.72,Yes,66.40244897959184,1.937551020408165,4,Loyal,Medium,2,0,1,0
Female,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card,36.64,1087.98,No,36.266,0.37400000000000233,2,Established,Low,1,0,0,0
Female,0,Yes,No,61,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer,80.19,4895.29,No,80.25065573770492,-0.06065573770491994,3,Loyal,High,0,0,0,0
Female,1,Yes,No,68,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer,45.97,3159.94,No,46.46970588235294,-0.49970588235294144,1,Loyal,Medium,2,0,0,0
Female,0,No,No,58,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Bank transfer,54.65,3218.24,No,55.486896551724136,-0.8368965517241378,2,Loyal,Medium,0,0,0,0
Female,0,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.46,1873.79,No,29.27796875,-0.8179687499999986,1,Loyal,Low,2,1,0,0
Male,0,Yes,Yes,20,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,No,Credit card,56.12,1359.45,No,67.9725,-11.8525,3,Developing,Medium,0,0,0,0
Female,0,Yes,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,21.06,714.45,No,23.046774193548387,-1.9867741935483885,1,Established,Low,0,0,0,0
Male,0,No,No,18,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,49.26,1002.64,No,55.70222222222222,-6.44222222222222,2,Developing,Medium,1,1,0,0
Male,0,No,Yes,27,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,60.47,1637.7,No,60.65555555555556,-0.1855555555555597,3,Established,Medium,0,1,0,1
Male,0,No,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,22.69,1362.8,No,25.71320754716981,-3.0232075471698074,1,Loyal,Low,0,0,0,0
Male,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,33.59,1584.02,No,32.3269387755102,1.2630612244898032,1,Loyal,Low,2,0,0,0
Female,0,Yes,No,1,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card,68.72,150.7,Yes,150.7,-81.97999999999999,5,New,Medium,2,0,1,0
Male,0,Yes,No,55,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,58.34,3200.81,Yes,58.19654545454545,0.14345454545455283,3,Loyal,Medium,2,1,0,1
Female,0,Yes,No,14,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,74.41,1121.31,No,80.09357142857142,-5.683571428571426,2,Developing,High,2,0,0,0
Female,0,No,Yes,14,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Electronic check,79.92,1163.43,No,83.10214285714287,-3.182142857142864,4,Developing,High,1,1,0,0
Male,0,Yes,No,40,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.13,3308.54,No,82.7135,-2.583500000000001,3,Established,High,2,1,0,1
Female,0,No,No,18,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card,64.05,1193.92,No,66.3288888888889,-2.2788888888889005,4,Developing,Medium,1,0,0,0
Female,0,No,No,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.26,2184.92,No,31.21314285714286,0.046857142857142264,2,Loyal,Low,2,1,0,0
Female,1,No,No,11,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,59.6,736.81,No,66.98272727272727,-7.382727272727273,3,New,Medium,2,0,0,0
Male,0,No,No,11,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,52.05,507.37,No,46.124545454545455,5.925454545454542,3,New,Medium,2,1,0,1
Female,0,No,No,55,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,38.91,1999.02,No,36.34581818181818,2.5641818181818152,1,Loyal,Low,0,1,0,0
Female,0,Yes,No,21,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,60.13,1087.76,No,51.798095238095236,8.331904761904767,4,Developing,Medium,2,1,1,1
Female,0,Yes,Yes,52,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,103.98,5553.08,No,106.78999999999999,-2.809999999999988,6,Loyal,Very High,2,1,1,0
Male,0,Yes,No,50,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,97.58,4900.34,No,98.0068,-0.42680000000000007,6,Loyal,High,2,0,0,1
Female,0,No,No,14,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Credit card,71.01,1033.21,No,73.80071428571429,-2.7907142857142873,2,Developing,High,0,0,0,0
Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.99,3332.09,Yes,79.3354761904762,0.6545238095237949,3,Established,High,2,1,0,1
Female,1,Yes,No,39,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Credit card,54.98,2170.49,No,55.65358974358974,-0.6735897435897442,2,Established,Medium,1,0,0,1
Male,0,Yes,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,36.54,200.0,No,28.571428571428573,7.968571428571426,2,New,Low,2,0,0,0
Male,1,Yes,No,56,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.73,5751.93,Yes,102.71303571428572,0.016964285714280436,6,Loyal,Very High,2,1,0,1
Male,0,Yes,Yes,62,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,59.48,3544.41,No,57.16790322580645,2.3120967741935488,3,Loyal,Medium,1,1,0,0
Female,0,No,Yes,69,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,45.98,3022.78,No,43.80840579710145,2.1715942028985467,2,Loyal,Medium,1,1,0,0
Female,0,Yes,No,7,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer,93.1,547.75,No,78.25,14.849999999999994,5,New,High,1,0,0,0
Male,0,No,No,13,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer,97.61,1201.53,No,92.42538461538462,5.184615384615384,5,Developing,High,2,0,0,1
Male,0,No,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Electronic check,72.83,4479.95,No,74.66583333333332,-1.8358333333333263,3,Loyal,High,0,1,0,0
Male,0,Yes,No,22,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,80.8,1980.92,Yes,90.04181818181819,-9.24181818181819,4,Developing,High,2,1,0,0
Female,0,Yes,Yes,46,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,53.26,2542.21,No,55.26543478260869,-2.0054347826086953,3,Established,Medium,0,1,0,0
Female,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,24.57,384.86,No,14.802307692307693,9.767692307692307,1,Established,Low,2,0,0,0
Male,0,No,No,16,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,52.72,985.62,Yes,61.60125,-8.881250000000001,2,Developing,Medium,2,1,0,0
Male,0,Yes,No,45,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,57.37,2551.46,No,56.699111111111115,0.6708888888888822,4,Established,Medium,2,0,0,0
Female,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer,90.57,1233.88,No,82.25866666666667,8.311333333333323,4,Developing,High,1,0,0,1
Male,1,No,No,10,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,No,Bank transfer,78.48,937.63,No,93.763,-15.283000000000001,5,New,High,1,0,1,0
Male,0,No,No,39,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,86.27,3332.65,No,85.45256410256411,0.8174358974358853,4,Established,High,2,1,1,0
Female,0,No,No,14,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,58.92,748.36,No,53.45428571428572,5.465714285714284,4,Developing,Medium,2,0,0,0
Male,0,No,No,14,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,67.84,907.12,No,64.79428571428572,3.0457142857142827,1,Developing,Medium,2,0,0,0
Female,1,No,No,57,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card,81.73,4632.97,Yes,81.2801754385965,0.4498245614035028,3,Loyal,High,2,0,0,1
Female,0,Yes,No,39,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,80.17,3175.81,No,81.43102564102564,-1.2610256410256397,3,Established,High,0,0,0,1
Male,0,No,No,40,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,89.51,3597.5,No,89.9375,-0.4274999999999949,4,Established,High,2,0,1,1
Male,1,Yes,No,11,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,61.45,624.65,No,56.78636363636363,4.663636363636371,4,New,Medium,2,1,0,0
Female,1,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,28.87,191.09,Yes,15.924166666666666,12.945833333333335,1,New,Low,2,0,0,0
Male,0,No,No,29,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer,84.83,2397.71,No,82.67965517241379,2.15034482758621,2,Established,High,2,0,0,1
Female,0,No,No,28,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer,67.96,1923.01,No,68.67892857142857,-0.7189285714285774,1,Established,Medium,0,0,0,0
Male,0,Yes,No,33,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,52.52,1675.0,Yes,50.75757575757576,1.7624242424242453,2,Established,Medium,2,0,0,0
Female,0,No,Yes,10,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Credit card,66.37,675.46,No,67.546,-1.176000000000002,4,New,Medium,0,0,1,0
Male,0,No,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Credit card,103.56,6732.05,No,103.57000000000001,-0.010000000000005116,5,Loyal,Very High,1,0,0,1
Male,0,No,No,27,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,96.99,2710.6,No,100.39259259259259,-3.4025925925925975,5,Established,High,1,1,1,1
Male,0,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.99,1674.41,No,28.379830508474576,-0.3898305084745779,1,Loyal,Low,2,1,0,0
Male,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,25.72,816.11,Yes,28.141724137931035,-2.4217241379310366,1,Established,Low,1,0,0,0
Female,0,Yes,No,34,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer,88.95,3006.67,No,88.4314705882353,0.5185294117647032,3,Established,High,1,0,0,0
Male,0,No,No,9,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card,74.22,799.54,Yes,88.83777777777777,-14.617777777777775,2,New,High,2,0,0,0
Female,1,No,No,49,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,90.67,4406.68,No,89.9322448979592,0.7377551020408077,4,Loyal,High,0,0,1,0
Male,0,No,Yes,5,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card,59.52,230.39,No,46.077999999999996,13.442000000000007,4,New,Medium,2,0,0,1
Male,0,No,Yes,54,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,79.18,4383.03,No,81.16722222222222,-1.987222222222215,3,Loyal,High,2,1,0,1
Female,0,Yes,No,64,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,77.74,4925.25,No,76.95703125,0.7829687499999949,3,Loyal,High,2,0,0,0
Male,0,Yes,Yes,27,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,74.62,1927.77,No,71.39888888888889,3.2211111111111137,6,Established,High,1,0,1,1
Male,0,No,No,64,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,47.32,2939.1,No,45.9234375,1.3965625000000017,3,Loyal,Medium,2,1,1,0
Female,0,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,91.58,4630.81,No,90.80019607843138,0.7798039215686146,4,Loyal,High,2,1,1,0
Female,1,No,No,1,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,80.82,59.59,Yes,59.59,21.22999999999999,4,New,High,2,1,0,1
Female,0,No,Yes,15,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,50.28,787.53,No,52.501999999999995,-2.221999999999994,3,Developing,Medium,2,1,1,0
Female,1,No,No,47,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card,55.38,2664.65,No,56.69468085106383,-1.3146808510638266,3,Established,Medium,2,0,1,0
Female,1,Yes,No,51,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Credit card,61.39,3133.35,No,61.438235294117646,-0.04823529411764582,3,Loyal,Medium,0,0,0,0
Male,1,No,No,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,19.09,209.59,No,29.94142857142857,-10.85142857142857,0,New,Low,2,0,0,0
Male,0,Yes,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,30.62,1596.33,No,31.926599999999997,-1.306599999999996,1,Loyal,Low,0,0,0,0
Female,1,Yes,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,35.84,2040.66,No,34.587457627118646,1.2525423728813578,2,Loyal,Low,1,0,0,0
Male,0,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,30.3,134.07,No,19.15285714285714,11.14714285714286,1,New,Low,1,0,0,0
Male,0,Yes,No,64,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,51.87,3284.13,No,51.31453125,0.5554687499999957,1,Loyal,Medium,0,1,0,0
Female,0,No,No,39,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,54.75,1963.43,No,50.344358974358975,4.4056410256410246,3,Established,Medium,2,1,0,0
Male,0,No,Yes,45,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Credit card,82.19,3705.09,No,82.33533333333334,-0.14533333333334042,3,Established,High,1,0,0,0
Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,78.76,297.07,Yes,74.2675,4.492500000000007,4,New,High,2,0,1,0
Male,0,No,No,45,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,87.04,4047.31,No,89.94022222222222,-2.9002222222222116,3,Established,High,2,0,0,0
Male,0,Yes,No,33,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,63.21,2173.99,No,65.87848484848485,-2.6684848484848445,4,Established,Medium,2,0,0,0
Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,27.79,726.49,No,26.90703703703704,0.8829629629629601,1,Established,Low,1,1,0,0
Female,1,No,No,57,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,51.27,3000.7,No,52.6438596491228,-1.3738596491227995,2,Loyal,Medium,0,1,0,0
