Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,1,No,No,46,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,18.0,889.52,0
Male,1,No,Yes,26,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer,80.13,2106.8,0
Male,0,Yes,No,8,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,61.35,485.17,0
Female,0,Yes,Yes,44,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card,46.7,2006.99,0
Female,0,Yes,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,39.24,1997.24,0
Female,0,Yes,No,20,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer,50.72,937.06,0
Female,0,Yes,No,47,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer,87.13,4204.74,0
Male,0,Yes,No,41,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,85.67,3442.04,0
Male,1,Yes,No,37,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,49.83,1743.65,0
Female,0,No,No,1,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,106.54,344.51,0
Male,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.57,1703.69,1
Male,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,28.43,698.31,0
Female,0,Yes,No,61,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,52.06,3236.94,0
Male,0,Yes,No,60,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer,63.24,3687.59,0
Female,0,No,No,63,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Bank transfer,62.48,3880.72,0
Male,0,Yes,No,34,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,80.33,2795.39,0
Male,0,No,Yes,24,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Electronic check,71.63,1890.63,0
Female,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,87.27,3223.67,0
Female,0,No,No,58,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,64.76,3814.22,0
Male,0,Yes,No,45,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,19.16,973.79,0
Female,1,No,No,44,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,68.57,2994.28,0
Male,0,Yes,Yes,32,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card,88.44,2712.92,1
Male,0,Yes,Yes,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.5,938.52,0
Male,0,Yes,No,63,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card,91.86,5897.14,0
Male,0,No,No,49,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,68.34,3253.72,1
Female,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card,36.64,1087.98,0
Female,0,Yes,No,61,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer,80.19,4895.29,0
Female,1,Yes,No,68,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer,45.97,3159.94,0
Female,0,No,No,58,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Bank transfer,54.65,3218.24,0
Female,0,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.46,1873.79,0
Male,0,Yes,Yes,20,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,No,Credit card,56.12,1359.45,0
Female,0,Yes,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,21.06,714.45,0
Male,0,No,No,18,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,49.26,1002.64,0
Male,0,No,Yes,27,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,60.47,1637.7,0
Male,0,No,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,22.69,1362.8,0
Male,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,33.59,1584.02,0
Female,0,Yes,No,1,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card,68.72,150.7,1
Male,0,Yes,No,55,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,58.34,3200.81,1
Female,0,Yes,No,14,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,74.41,1121.31,0
Female,0,No,Yes,14,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Electronic check,79.92,1163.43,0
Male,0,Yes,No,40,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.13,3308.54,0
Female,0,No,No,18,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card,64.05,1193.92,0
Female,0,No,No,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.26,2184.92,0
Female,1,No,No,11,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,59.6,736.81,0
Male,0,No,No,11,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,52.05,507.37,0
Female,0,No,No,55,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,38.91,1999.02,0
Female,0,Yes,No,21,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,60.13,1087.76,0
Female,0,Yes,Yes,52,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,103.98,5553.08,0
Male,0,Yes,No,50,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,97.58,4900.34,0
Female,0,No,No,14,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Credit card,71.01,1033.21,0
Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.99,3332.09,1
Female,1,Yes,No,39,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Credit card,54.98,2170.49,0
Male,0,Yes,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,36.54,200.0,0
Male,1,Yes,No,56,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.73,5751.93,1
Male,0,Yes,Yes,62,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,59.48,3544.41,0
Female,0,No,Yes,69,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,45.98,3022.78,0
Female,0,Yes,No,7,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer,93.1,547.75,0
Male,0,No,No,13,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer,97.61,1201.53,0
Male,0,No,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Electronic check,72.83,4479.95,0
Male,0,Yes,No,22,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,80.8,1980.92,1
Female,0,Yes,Yes,46,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,53.26,2542.21,0
Female,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,24.57,384.86,0
Male,0,No,No,16,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,52.72,985.62,1
Male,0,Yes,No,45,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,57.37,2551.46,0
Female,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer,90.57,1233.88,0
Male,1,No,No,10,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,No,Bank transfer,78.48,937.63,0
Male,0,No,No,39,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,86.27,3332.65,0
Female,0,No,No,14,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,58.92,748.36,0
Male,0,No,No,14,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,67.84,907.12,0
Female,1,No,No,57,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card,81.73,4632.97,1
Female,0,Yes,No,39,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,80.17,3175.81,0
Male,0,No,No,40,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,89.51,3597.5,0
Male,1,Yes,No,11,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,61.45,624.65,0
Female,1,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,28.87,191.09,1
Male,0,No,No,29,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer,84.83,2397.71,0
Female,0,No,No,28,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer,67.96,1923.01,0
Male,0,Yes,No,33,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,52.52,1675.0,1
Female,0,No,Yes,10,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Credit card,66.37,675.46,0
Male,0,No,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Credit card,103.56,6732.05,0
Male,0,No,No,27,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,96.99,2710.6,0
Male,0,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.99,1674.41,0
Male,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,25.72,816.11,1
Female,0,Yes,No,34,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer,88.95,3006.67,0
Male,0,No,No,9,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card,74.22,799.54,1
Female,1,No,No,49,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,90.67,4406.68,0
Male,0,No,Yes,5,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card,59.52,230.39,0
Male,0,No,Yes,54,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,79.18,4383.03,0
Female,0,Yes,No,64,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,77.74,4925.25,0
Male,0,Yes,Yes,27,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,74.62,1927.77,0
Male,0,No,No,64,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,47.32,2939.1,0
Female,0,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,91.58,4630.81,0
Female,1,No,No,1,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,80.82,59.59,1
Female,0,No,Yes,15,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,50.28,787.53,0
Female,1,No,No,47,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card,55.38,2664.65,0
Female,1,Yes,No,51,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Credit card,61.39,3133.35,0
Male,1,No,No,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,19.09,209.59,0
Male,0,Yes,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,30.62,1596.33,0
Female,1,Yes,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,35.84,2040.66,0
Male,0,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,30.3,134.07,0
Male,0,Yes,No,64,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,51.87,3284.13,0
Female,0,No,No,39,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,54.75,1963.43,0
Male,0,No,Yes,45,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Credit card,82.19,3705.09,0
Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,78.76,297.07,1
Male,0,No,No,45,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,87.04,4047.31,0
Male,0,Yes,No,33,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,63.21,2173.99,0
Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,27.79,726.49,0
Female,1,No,No,57,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,51.27,3000.7,0
Male,0,No,No,18,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer,78.85,1406.43,0
Male,0,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.59,190.73,0
Female,0,Yes,No,36,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,95.84,3295.88,0
Male,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,79.36,4240.91,0
Female,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,86.51,878.41,1
Female,0,No,No,71,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,91.99,6510.13,0
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,34.02,1770.66,0
Male,0,Yes,No,68,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,79.11,5408.35,0
Female,0,No,No,34,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card,91.06,3145.22,1
Female,0,Yes,No,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,23.46,228.52,0
Female,1,No,Yes,13,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card,81.68,1063.43,1
Male,0,No,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card,74.93,2846.28,0
Male,1,Yes,No,43,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Credit card,72.47,3259.31,0
Female,0,Yes,Yes,53,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer,52.19,2598.98,0
Female,0,Yes,No,58,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,75.23,4282.66,0
Male,0,Yes,Yes,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,30.56,1685.59,0
Female,1,No,No,43,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,No,Mailed check,71.54,3184.12,0
Male,1,No,Yes,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,60.22,183.5,0
Female,0,Yes,No,39,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,60.14,2280.29,1
Male,0,No,Yes,59,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Electronic check,92.41,5420.99,0
Female,0,Yes,No,62,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer,61.05,3845.39,0
Female,0,Yes,Yes,61,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,85.85,5188.99,0
Male,1,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Bank transfer,43.36,66.07,0
Female,0,No,Yes,32,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,70.46,2200.33,0
Male,0,No,No,45,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,64.8,2955.11,0
Male,0,Yes,No,18,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,67.98,1274.58,0
Male,0,No,Yes,30,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,18.0,324.69,0
Male,1,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.46,331.59,0
Male,0,No,No,14,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card,79.6,1267.01,1
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,29.02,18.0,1
Female,0,No,No,71,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Mailed check,51.2,3616.93,0
Female,0,Yes,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.4,1444.27,0
Male,0,Yes,No,30,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Electronic check,89.35,2510.04,0
Female,1,No,Yes,1,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,103.41,168.27,1
Female,0,Yes,No,25,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,95.69,2537.22,0
Female,0,No,No,32,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer,76.67,2451.6,0
Female,0,Yes,No,13,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer,78.66,1147.56,0
Female,0,No,Yes,48,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,66.87,3156.8,0
Female,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Credit card,91.86,6497.95,0
Male,0,No,Yes,61,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Bank transfer,72.64,4399.88,0
Male,0,Yes,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.65,1651.65,0
Male,0,Yes,No,60,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,81.15,4903.33,0
Female,0,No,Yes,6,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,78.4,557.39,0
Male,0,Yes,Yes,40,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card,81.29,3159.26,0
Female,0,No,No,41,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,55.14,2152.41,0
Male,0,No,Yes,8,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,61.36,561.2,0
Male,0,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Electronic check,83.02,885.21,1
Male,0,No,No,41,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,98.91,4117.63,0
Female,1,No,No,52,No,No phone service,DSL,No,Yes,No,No,No,No,One year,Yes,Mailed check,41.32,2082.8,0
Female,0,Yes,Yes,16,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer,59.24,895.23,0
Male,0,No,Yes,35,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Credit card,63.56,2306.62,0
Female,0,Yes,Yes,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.8,178.51,0
Female,0,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,34.37,386.34,0
Female,0,Yes,No,42,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,57.65,2404.56,0
Female,0,No,Yes,41,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,96.97,4079.34,0
Female,0,Yes,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,24.63,1390.28,0
Female,0,Yes,No,66,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,62.32,4145.53,0
Male,1,Yes,No,14,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,61.87,797.87,1
Male,0,Yes,No,25,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,75.16,1931.85,0
Male,1,Yes,No,62,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card,69.11,4264.48,0
Female,1,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,31.4,274.47,0
Male,1,Yes,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.9,1853.87,0
Female,0,No,No,69,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Credit card,89.83,6183.73,0
Female,0,Yes,No,8,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,77.88,725.26,1
Female,0,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,25.39,286.02,0
Female,0,Yes,No,50,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,58.91,2877.36,0
Male,1,No,No,35,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,45.74,1478.38,0
